sensitivity,origin,horizon,model,country,n,MAE,RMSE,MAPE,WAPE,bias_pct
all,52,13,rf,Netherlands,39,203.41202247185262,264.0696815906803,10.123605370628436,10.357974221366321,-8.975293899243495
all,52,13,rf,Sweden,39,125.61640782016606,175.29292180487587,8.068063857629767,8.570598668649037,-6.1946706085421
all,52,13,ridge,Denmark,39,64.49507863236704,78.3024899392711,5.936967944886751,5.487865049226152,2.959403402144188
all,52,13,ridge,Netherlands,39,107.40888910973328,154.7860370501161,5.497331787961361,5.469384213502719,3.21419511547222
all,52,13,ridge,Sweden,39,81.09614243443673,107.33699044828145,5.458596479459652,5.533054976195365,3.845081085869202
all,52,13,ridge_no_channel,Denmark,39,327.98329202591793,373.44294818464334,33.33619604957819,27.90799055070646,-2.325882897046731
all,52,13,ridge_no_channel,Netherlands,39,820.8944260259665,1007.2883047706466,50.748603731540186,41.80088865896237,-9.766195324334491
all,52,13,ridge_no_channel,Sweden,39,426.8392865052816,502.60004671053775,32.94998685265027,29.12253489915499,-2.1822489777347607
all,52,13,ridge_no_season,Denmark,39,281.3387681889597,301.22453528040666,24.88098446813939,23.939023343739205,23.939023343739205
all,52,13,ridge_no_season,Netherlands,39,476.1426767795785,539.6806104671581,25.113727361197984,24.245732930843282,24.245732930843282
all,52,13,ridge_no_season,Sweden,39,366.4924705952826,398.7558357776751,25.69263801487261,25.005171976025647,25.005171976025647
all,52,13,ridge_price,Denmark,39,64.66123906669274,78.14825211454936,5.973927142348646,5.502003585986423,2.9814626278903424
all,52,13,ridge_price,Netherlands,39,108.69859299533876,156.82839130826326,5.540154056817736,5.5350574192354145,3.357642267131251
all,52,13,ridge_price,Sweden,39,82.91906883939936,109.58811438702561,5.590597280663072,5.657430214195999,4.0826740628692635
all,52,13,ridge_promo,Denmark,39,64.16523124851265,77.71320330239048,5.914348980392564,5.45979844371426,2.860361223067643
all,52,13,ridge_promo,Netherlands,39,106.73847471611603,153.709759689914,5.47777809086659,5.4352459412298435,3.139010650779559
all,52,13,ridge_promo,Sweden,39,80.73940674837108,107.01459237427389,5.427640771865729,5.50871549340717,3.8023105308569187
all,52,13,seasonal52,Denmark,39,306.43589743589746,331.4877497059706,25.54671719660388,26.074529825020726,-26.074529825020726
all,52,13,seasonal52,Netherlands,39,475.1794871794872,544.719970401165,24.172127672787127,24.196686208202223,-24.196686208202223
all,52,13,seasonal52,Sweden,39,365.79487179487177,393.21130223472494,24.938433484721507,24.95757596962964,-24.95757596962964
all,52,26,index_trend,Denmark,78,54.89966370840286,69.85730527634716,3.8881833933121155,3.6887943156413554,-1.4678825934161532
all,52,26,index_trend,Netherlands,78,114.12068989817934,167.88702975672103,4.156961190309698,4.604187496215332,-2.6137507311108794
all,52,26,index_trend,Sweden,78,74.60233785182845,92.99940500425207,4.028522851114759,4.01882850168352,0.13482720831802786
all,52,26,last,Denmark,78,375.38461538461536,532.2845537434334,21.600317092327295,25.22267973743604,-23.535999173026894
all,52,26,last,Netherlands,78,610.1153846153846,959.5055951788333,20.250333065049006,24.615042439728345,-22.61848727325392
all,52,26,last,Sweden,78,451.1666666666667,647.0276318753755,20.512506744191583,24.30435172971069,-21.7268790618331
all,52,26,rf,Denmark,78,260.2187553409292,358.7280215315934,14.97990041200781,17.484505381004148,-15.862846031241144
all,52,26,rf,Netherlands,78,474.5061084012189,642.6105880823081,17.113730656834573,19.143900138773553,-18.59615038476847
all,52,26,rf,Sweden,78,332.56835885203026,458.633430790573,15.197515006187256,17.915459994929563,-16.977497359693242
all,52,26,ridge,Denmark,78,83.69590377928213,107.27221223199194,6.211445439162821,5.623658748500256,3.263608041498857
all,52,26,ridge,Netherlands,78,138.03427976190602,188.46371625776547,5.967912179166419,5.568978819667967,3.865951412172508
all,52,26,ridge,Sweden,78,114.17830069182445,146.0291403429408,6.303303396123691,6.150785917801487,4.138554611489085
all,52,26,ridge_no_channel,Denmark,78,418.9411348182195,490.2035558056518,33.63955698422686,28.14931043865851,-2.037294204943155
all,52,26,ridge_no_channel,Netherlands,78,1050.2195342496307,1324.5979500371427,51.685478012731544,42.370999090414564,-9.196404993587887
all,52,26,ridge_no_channel,Sweden,78,549.4696858442469,663.2592449284299,33.51063504059431,29.599936112830914,-1.9058091121143825
all,52,26,ridge_no_season,Denmark,78,274.69776228263987,320.07097343482,19.20089729663373,18.457372515243794,2.0121786799067856
all,52,26,ridge_no_season,Netherlands,78,452.53305778205424,560.7842365867907,19.03560752817597,18.257399671551276,2.6072223813734805
all,52,26,ridge_no_season,Sweden,78,343.72882934473,399.70641297242605,19.56527345134257,18.51667462438719,2.876521961398053
all,52,26,ridge_price,Denmark,78,83.81861462893062,107.33092853029667,6.251299567741879,5.631903882515194,3.287068070536719
all,52,26,ridge_price,Netherlands,78,138.91037637215692,190.83197316881444,6.002510931283238,5.604324847298825,4.011649371781374
all,52,26,ridge_price,Sweden,78,116.13942885801221,148.73981196439948,6.432116306356683,6.256431906877371,4.378168779193861
all,52,26,ridge_promo,Denmark,78,83.32207672199436,106.54177263497466,6.188868076072137,5.598540723528728,3.158029318464288
all,52,26,ridge_promo,Netherlands,78,137.87599298750118,187.2311389923939,5.9573980271449205,5.562592756034972,3.784010385359637
all,52,26,ridge_promo,Sweden,78,113.72895885457005,145.5407875664949,6.270096179198681,6.126579869645953,4.089362899257433
all,52,26,seasonal52,Denmark,78,381.6923076923077,424.25609102195665,25.275244362717036,25.64650345433558,-25.64650345433558
all,52,26,seasonal52,Netherlands,78,619.2435897435897,740.5213253737757,24.63756970554462,24.98331893675679,-24.98331893675679
all,52,26,seasonal52,Sweden,78,472.5897435897436,528.7335376597118,25.196703284132944,25.458413044829516,-25.458413044829516
all,65,13,index_trend,Denmark,39,64.30243686702909,81.78810172469593,3.7260095386439547,3.5697133715967295,-1.4848607922727959
all,65,13,index_trend,Netherlands,39,114.55606117278587,158.06180370787771,3.726754778462916,3.826908779670603,-1.7321779386413398
all,65,13,index_trend,Sweden,39,93.38569077896109,112.9789119957312,4.193989562535675,4.156063926852614,-0.9335790757471547
all,65,13,last,Denmark,39,483.6666666666667,570.42523499399,25.97900050789247,26.850481125092525,-26.850481125092525
all,65,13,last,Netherlands,39,872.7692307692307,1127.0167564108217,26.731101585960005,29.156102240800383,-29.156102240800383
all,65,13,last,Sweden,39,583.974358974359,699.2206100641353,24.463692627418737,25.98936461566551,-25.98936461566551
all,65,13,rf,Denmark,39,409.78327480139814,490.6130440996922,21.11687129134583,22.748886461957706,-22.748886461957706
all,65,13,rf,Netherlands,39,737.6654977462135,862.4625808856541,24.043586097278443,24.64276914625362,-24.64276914625362
all,65,13,rf,Sweden,39,537.9019343710708,621.1840155502668,22.4252786221725,23.938944039245662,-23.938944039245662
all,65,13,ridge,Denmark,39,94.26990398133245,121.92512429220787,5.390075789345646,5.233340339452209,-1.3380403875053732
all,65,13,ridge,Netherlands,39,140.90378161601055,189.32061675273414,4.413570566858082,4.70709199875318,-0.5853662645184481
all,65,13,ridge,Sweden,39,121.45780668813568,152.2290771521988,5.422804342412345,5.405393532998553,-0.684707134162954
all,65,13,ridge_no_channel,Denmark,39,530.8910774516869,595.3142380683164,33.4983880365877,29.472117549131397,-6.449034306542262
all,65,13,ridge_no_channel,Netherlands,39,1268.3326627009328,1606.8425138573223,49.7349344292067,42.37046344594701,-13.133770464333924
all,65,13,ridge_no_channel,Sweden,39,668.7773739679232,804.9950189595643,32.20930403517352,29.76346264463781,-6.453712780579952
all,65,13,ridge_no_season,Denmark,39,469.79012900656653,560.5558822162085,24.280735775355176,26.080132994442994,-26.080132994442994
all,65,13,ridge_no_season,Netherlands,39,763.8114433960252,981.7665554812527,23.70444780200308,25.516211790280426,-25.516211790280426
all,65,13,ridge_no_season,Sweden,39,575.0151261235787,687.0520927446978,23.91442086069575,25.590640312693502,-25.590640312693502
all,65,13,ridge_price,Denmark,39,93.38269476358813,120.92314053017554,5.384663945028908,5.18408742210889,-1.1543849454511799
all,65,13,ridge_price,Netherlands,39,140.14042252508114,188.50833644452146,4.398733674623196,4.681590898442887,-0.5904965027640037
all,65,13,ridge_price,Sweden,39,121.73320522776176,153.62710307069253,5.425929313870059,5.417649949656186,-0.8164008095865237
all,65,13,ridge_promo,Denmark,39,94.79513452131846,122.54330325732455,5.403710172889585,5.262498215469196,-1.4411485228167538
all,65,13,ridge_promo,Netherlands,39,140.96555425851938,190.71579280947296,4.4003912444984925,4.709155602071418,-0.6926680128982337
all,65,13,ridge_promo,Sweden,39,121.49339184774344,152.62030404583945,5.415050871703345,5.406977225285277,-0.7779138422365466
all,65,13,seasonal52,Denmark,39,456.94871794871796,500.102322863365,25.00377152883019,25.367249330979902,-25.367249330979902
all,65,13,seasonal52,Netherlands,39,763.3076923076923,894.4405069722751,25.103011738302104,25.49938326594943,-25.49938326594943
all,65,13,seasonal52,Sweden,39,579.3846153846154,636.0056442258823,25.454973083544363,25.78510133284645,-25.78510133284645
exclude_spike_train,26,13,index_trend,Denmark,39,81.31135993427779,148.73324574171858,4.616348657393032,5.3261610665896875,-2.2460133790483927
exclude_spike_train,26,13,index_trend,Netherlands,39,155.92068088040963,262.4263440005827,5.966065468677247,6.149846331714494,-5.010570984440368
exclude_spike_train,26,13,index_trend,Sweden,39,131.45687821057564,193.1868228567827,6.385211411572573,6.840317878869179,-5.379324477848395
exclude_spike_train,26,13,rf,Denmark,39,195.7964185688753,291.7349862210059,10.850237015953262,12.825308325947928,-9.572493522488903
exclude_spike_train,26,13,rf,Netherlands,39,348.63175481963685,489.3527719404267,12.717643313489921,13.750784734843434,-11.428401891089344
exclude_spike_train,26,13,rf,Sweden,39,271.68955422969975,378.030869971182,12.11908350476528,14.13728167439398,-12.914920166952985
exclude_spike_train,26,13,ridge,Denmark,39,178.81592933295218,232.67169908610057,12.22320088975211,11.713030524505173,5.467286090934978
