sensitivity,origin,horizon,model,channel,n,MAE,RMSE,MAPE,WAPE,bias_pct
all,52,26,ridge,Gym & Office,78,69.6289905279512,85.25664835517048,6.89702030369683,6.737537075488088,5.18496861191491
all,52,26,ridge,Retail/Grocery,78,152.83181313059947,200.39955051305208,5.440424648891316,5.2019223976762206,3.084549925055312
all,52,26,ridge_no_channel,DTC Online,78,114.09189337363536,137.33809357754845,6.335950604535001,6.161151816078342,-0.4643628737901224
all,52,26,ridge_no_channel,Gym & Office,78,809.747105962789,875.0389956475957,77.75094212368025,78.35387396580721,78.35387396580721
all,52,26,ridge_no_channel,Retail/Grocery,78,1094.7913555756725,1284.6077555030827,34.748777309337456,37.26331289732743,-37.26331289732743
all,52,26,ridge_no_season,DTC Online,78,335.24238433946516,368.0834017007253,19.02537687174374,18.10364578958618,2.8964673128287477
all,52,26,ridge_no_season,Gym & Office,78,186.5149086896374,206.12648248792738,19.260571767671834,18.047814608532196,3.9102546965712737
all,52,26,ridge_no_season,Retail/Grocery,78,549.2023563803215,631.4396940489275,19.5158296367367,18.69315020211163,1.8352905301010558
all,52,26,ridge_price,DTC Online,78,114.66200070226805,146.12992808881836,6.218352482175973,6.191938559108908,4.30361034267499
all,52,26,ridge_price,Gym & Office,78,70.61512868515537,86.55124815312102,7.002921183087881,6.832959145308983,5.375470634556085
all,52,26,ridge_price,Retail/Grocery,78,153.59129047167627,203.01533790769923,5.4646531401179494,5.2277726582348585,3.212430426377049
all,52,26,ridge_promo,DTC Online,78,113.1584369846035,144.23877917923912,6.124254396961245,6.110743620049205,4.099028804227584
all,52,26,ridge_promo,Gym & Office,78,69.41027844754721,84.98768053455332,6.877092336932625,6.716373753437809,5.147961715082829
all,52,26,ridge_promo,Retail/Grocery,78,152.35831313191485,198.89956839648187,5.4150155485218665,5.185805921675558,2.981512841053824
all,52,26,seasonal52,DTC Online,78,468.6923076923077,495.9563669807234,25.273177193899294,25.310163389642756,-25.310163389642756
all,52,26,seasonal52,Gym & Office,78,255.51282051282053,270.40909179071053,24.58125852433443,24.72428637000831,-24.72428637000831
all,52,26,seasonal52,Retail/Grocery,78,749.3205128205128,829.9580851325704,25.25508163416087,25.504553527401892,-25.504553527401892
all,65,13,index_trend,DTC Online,39,84.33264769508136,100.38000951631857,3.8006878742128327,3.7859556595353827,0.15904072420440274
all,65,13,index_trend,Gym & Office,39,52.036900681206866,60.48659441760923,4.1605573338386455,4.171852005441491,-0.4630690183500403
all,65,13,index_trend,Retail/Grocery,39,135.87464044248782,175.22068232979655,3.685508671591068,3.809322888711029,-2.7290621928165737
all,65,13,last,DTC Online,39,551.5128205128206,638.3090040218644,23.157938510947382,24.75913114546522,-24.75913114546522
all,65,13,last,Gym & Office,39,356.3333333333333,394.007776833311,27.40755190739417,28.567610903260288,-28.567610903260288
all,65,13,last,Retail/Grocery,39,1032.5641025641025,1233.604744910892,26.60830430292968,28.948522381729436,-28.948522381729436
all,65,13,rf,DTC Online,39,542.8957710142118,616.7740473251083,22.82664100799344,24.372284909643113,-24.372284909643113
all,65,13,rf,Gym & Office,39,245.608025897426,258.21324718900917,19.325912282065612,19.69064878921106,-19.69064878921106
all,65,13,rf,Retail/Grocery,39,896.8469100070442,960.8996498938777,25.43318272073771,25.143613634110466,-25.143613634110466
all,65,13,ridge,DTC Online,39,114.27327390641244,139.31499016861724,5.362747784404192,5.130083780173455,0.14340553670090694
all,65,13,ridge,Gym & Office,39,58.64090969749351,72.45272780836649,4.795495886106581,4.7013022205366255,0.49777096599008663
all,65,13,ridge,Retail/Grocery,39,183.71730868157272,221.86405643853385,5.068207028105302,5.150619326270289,-1.861942100585216
all,65,13,ridge_no_channel,DTC Online,39,148.43701155644032,187.91362644965469,6.895727916174886,6.663800548733407,-4.416401780296866
all,65,13,ridge_no_channel,Gym & Office,39,881.8035713180182,934.484414880009,70.80265088554013,70.69510192287693,70.69510192287693
all,65,13,ridge_no_channel,Retail/Grocery,39,1437.7605312460848,1635.783064552508,37.744247699252895,40.308434909745095,-40.308434909745095
all,65,13,ridge_no_season,DTC Online,39,556.214378893767,633.4204040598629,23.559244210186776,24.970198769303366,-24.970198769303366
all,65,13,ridge_no_season,Gym & Office,39,308.1499559076359,348.0101143451193,23.3542315553059,24.704699832253013,-24.704699832253013
all,65,13,ridge_no_season,Retail/Grocery,39,944.2523637247674,1108.0598344528696,24.98612867256132,26.472652513687777,-26.472652513687777
all,65,13,ridge_price,DTC Online,39,113.43903128592086,139.03759854966836,5.333430453060357,5.092632026234749,0.06591751228640215
all,65,13,ridge_price,Gym & Office,39,59.176256802720744,73.04327494610355,4.843130207469691,4.744221550191401,0.6026602703539691
